symbol,company_name,security_id,exchange_segment,instrument,instrument_type,series,lot_size,listing_date,status,latest_date,latest_close,history_rows,avg_volume_50d,avg_traded_value_50d,liquidity_pass,risk_tier,liquidity_reason
AZAD,Azad Engineering,20905,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,1920.4,590,444763,854035381,True,LOW,PASS
BAJAJCON,Bajaj Consumer Care,19531,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,521.3,1238,1493604,682559643,True,LOW,PASS
BAJAJELEC,Bajaj Electricals,15034,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,356.8,1238,326459,119490181,True,MEDIUM,PASS
BAJAJHCARE,Bajaj HealthCare,6863,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,274.95,1109,240654,75074511,True,HIGH,PASS
BAJAJHIND,Bajaj Hindusthan Sugar,308,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,17.27,1238,13273465,235732794,True,MEDIUM,PASS
BAJEL,Bajel Projects,20531,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,172.99,596,2233223,384569694,True,MEDIUM,PASS
BALAJITELE,Balaji Telefilms,9158,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,90.48,1238,773289,78382394,True,HIGH,PASS
BALAMINES,Balaji Amines,14501,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,1763.0,1238,236572,337713836,True,MEDIUM,PASS
BALMLAWRIE,Balmer Lawrie & Co,338,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,184.74,1238,279579,49540527,True,HIGH,PASS
BALUFORGE,Balu Forge Industries,23607,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,466.3,508,583355,279586206,True,MEDIUM,PASS
BANCOINDIA,Banco Products,13880,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,582.2,1238,205476,119134603,True,MEDIUM,PASS
BANSALWIRE,Bansal Wire Industries,24386,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,301.75,458,150207,42359537,True,HIGH,PASS
BBL,Bharat Bijlee,13761,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,2704.3,1238,59784,160502170,True,HIGH,PASS
BBOX,Black Box,3435,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,935.2,1239,1005095,703224923,True,LOW,PASS
BCLIND,BCL Industries,2513,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,33.41,1238,852198,26933369,True,HIGH,PASS
BECTORFOOD,Mrs. Bectors Food,1628,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,181.72,1239,738279,142226377,True,MEDIUM,PASS
BEPL,Bhansali Engineering Polymers,419,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,94.97,1238,669733,61574416,True,HIGH,PASS
BGRENERGY,BGR Energy Systems,15193,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE,2026-05-18,255.35,1238,104283,31030715,True,HIGH,PASS
BHAGCHEM,Bhagiradha Chemicals & Industries,6164,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,242.45,1135,178973,38405921,True,HIGH,PASS
BHAGYANGR,Bhagyanagar,20799,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE,2026-05-18,301.55,1238,375461,81475416,True,HIGH,PASS
BHARATSE,Bharat Seats,30244,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,180.0,282,255244,46182346,True,HIGH,PASS
BHARATWIRE,Bharat Wire Ropes,16123,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,219.96,1238,1079919,242902938,True,MEDIUM,PASS
BIRLACABLE,Birla Cable,6815,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE,2026-05-18,153.47,1238,118405,17851866,True,HIGH,PASS
BIRLACORPN,Birla Corporation,480,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,1011.4,1238,152818,141963371,True,MEDIUM,PASS
BIRLAMONEY,Aditya Birla Money,15239,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,133.26,1238,102598,13928957,True,HIGH,PASS
BLACKBUCK,Black Buck,27144,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,527.1,366,736152,430033490,True,MEDIUM,PASS
BLISSGVS,Bliss GVS Pharma,19265,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,287.4,1238,1846200,455641517,True,MEDIUM,PASS
BLKASHYAP,B L Kashyap & Sons,13290,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,52.51,1238,680591,36107528,True,HIGH,PASS
BLSE,BLS E-Services,22566,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,192.18,563,599882,93199972,True,HIGH,PASS
BLUESTONE,BlueStone Jewellery & Lifestyle,759291,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,464.2,183,539272,276633596,True,MEDIUM,PASS
BLUSPRING,Bluspring Enterprises,757520,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,69.38,230,485801,26465127,True,HIGH,PASS
BMWVENTLTD,BMW Ventures,759256,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,59.89,153,202385,12044938,True,HIGH,PASS
BODALCHEM,Bodal Chemicals,25017,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,69.22,1238,510951,30596488,True,HIGH,PASS
BOMDYEING,Bombay Dyeing,513,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,118.9,1238,1627362,192439683,True,MEDIUM,PASS
BORANA,Borana Weaves,757919,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,319.5,241,59997,21076173,True,HIGH,PASS
