symbol,company_name,industry,security_id,exchange_segment,instrument,status
IRB,IRB Infrastructure Developers Ltd.,Construction,15313,NSE_EQ,EQUITY,ACTIVE
IRCON,IRCON International Ltd.,Construction,4986,NSE_EQ,EQUITY,ACTIVE
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,13611,NSE_EQ,EQUITY,ACTIVE
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services,20261,NSE_EQ,EQUITY,ACTIVE
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,2029,NSE_EQ,EQUITY,ACTIVE
ITC,ITC Ltd.,Fast Moving Consumer Goods,1660,NSE_EQ,EQUITY,ACTIVE
ITCHOTELS,ITC Hotels Ltd.,Consumer Services,29251,NSE_EQ,EQUITY,ACTIVE
ITI,ITI Ltd.,Telecommunication,1675,NSE_EQ,EQUITY,ACTIVE
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,5633,NSE_EQ,EQUITY,ACTIVE
JAINREC,Jain Resource Recycling Ltd.,Metals & Mining,759244,NSE_EQ,EQUITY,ACTIVE
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,1726,NSE_EQ,EQUITY,ACTIVE
JBMA,JBM Auto Ltd.,Automobile and Auto Components,11655,NSE_EQ,EQUITY,ACTIVE
JINDALSAW,Jindal Saw Ltd.,Capital Goods,3024,NSE_EQ,EQUITY,ACTIVE
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,6733,NSE_EQ,EQUITY,ACTIVE
JIOFIN,Jio Financial Services Ltd.,Financial Services,18143,NSE_EQ,EQUITY,ACTIVE
JKCEMENT,J.K. Cement Ltd.,Construction Materials,13270,NSE_EQ,EQUITY,ACTIVE
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,14435,NSE_EQ,EQUITY,ACTIVE
JMFINANCIL,JM Financial Ltd.,Financial Services,13637,NSE_EQ,EQUITY,ACTIVE
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,11763,NSE_EQ,EQUITY,ACTIVE
JSL,Jindal Stainless Ltd.,Metals & Mining,11236,NSE_EQ,EQUITY,ACTIVE
JSWCEMENT,JSW Cement Ltd.,Construction Materials,758460,NSE_EQ,EQUITY,ACTIVE
JSWDULUX,JSW Dulux Ltd.,Consumer Durables,1467,NSE_EQ,EQUITY,ACTIVE
JSWENERGY,JSW Energy Ltd.,Power,17869,NSE_EQ,EQUITY,ACTIVE
JSWINFRA,JSW Infrastructure Ltd.,Services,19020,NSE_EQ,EQUITY,ACTIVE
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,11723,NSE_EQ,EQUITY,ACTIVE
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,18096,NSE_EQ,EQUITY,ACTIVE
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,2783,NSE_EQ,EQUITY,ACTIVE
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,3637,NSE_EQ,EQUITY,ACTIVE
JWL,Jupiter Wagons Ltd.,Capital Goods,20224,NSE_EQ,EQUITY,ACTIVE
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,21334,NSE_EQ,EQUITY,ACTIVE
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,1808,NSE_EQ,EQUITY,ACTIVE
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,2955,NSE_EQ,EQUITY,ACTIVE
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,1838,NSE_EQ,EQUITY,ACTIVE
KAYNES,Kaynes Technology India Ltd.,Capital Goods,12092,NSE_EQ,EQUITY,ACTIVE
KEC,Kec International Ltd.,Construction,13260,NSE_EQ,EQUITY,ACTIVE
KEI,KEI Industries Ltd.,Capital Goods,13310,NSE_EQ,EQUITY,ACTIVE
KFINTECH,Kfin Technologies Ltd.,Financial Services,13359,NSE_EQ,EQUITY,ACTIVE
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,4847,NSE_EQ,EQUITY,ACTIVE
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,20936,NSE_EQ,EQUITY,ACTIVE
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,1922,NSE_EQ,EQUITY,ACTIVE
KPIL,Kalpataru Projects International Ltd.,Construction,1814,NSE_EQ,EQUITY,ACTIVE
KPITTECH,KPIT Technologies Ltd.,Information Technology,9683,NSE_EQ,EQUITY,ACTIVE
KPRMILL,K.P.R. Mill Ltd.,Textiles,14912,NSE_EQ,EQUITY,ACTIVE
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,11654,NSE_EQ,EQUITY,ACTIVE
LATENTVIEW,Latent View Analytics Ltd.,Information Technology,6818,NSE_EQ,EQUITY,ACTIVE
LAURUSLABS,Laurus Labs Ltd.,Healthcare,19234,NSE_EQ,EQUITY,ACTIVE
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,2606,NSE_EQ,EQUITY,ACTIVE
LENSKART,Lenskart Solutions Ltd.,Consumer Services,759605,NSE_EQ,EQUITY,ACTIVE
