symbol,company_name,security_id,exchange_segment,instrument,instrument_type,series,lot_size,listing_date,status
AMNPLST,Amines & Plasticizers,19867,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AMRUTANJAN,Amrutanjan Health Care,17547,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ANANDRATHI,Anand Rathi Wealth,7145,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ANANTRAJ,Anant Raj,13620,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ANDHRAPAP,Andhra Paper,166,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ANDHRSUGAR,Andhra Sugars,136,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ANGELONE,Angel One,324,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ANIKINDS,Anik Industries,16661,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
ANKITMETAL,Ankit Metal & Power,25878,NSE_EQ,EQUITY,ES,BZ,1,,ACTIVE
ANLON,Anlon Technology Solutions,13664,NSE_EQ,EQUITY,ES,ST,400,,ACTIVE
ANMOL,Anmol,3727,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ANNAPURNA,Annapurna Swadisht,11198,NSE_EQ,EQUITY,ES,SM,250,,ACTIVE
ANONDITA,Anondita Medicare,758740,NSE_EQ,EQUITY,ES,SM,200,,ACTIVE
ANSALAPI,Ansal Properties & Infrastructure,19677,NSE_EQ,EQUITY,ES,BZ,1,,ACTIVE
ANTELOPUS,Antelopus Selan Energy,13598,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ANTGRAPHIC,Antarctica,5194,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ANTHEM,Anthem Biosciences,757885,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ANUHPHR,Anuh Pharma,28314,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ANUP,The Anup Engineering,9014,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ANURAS,Anupam Rasayan,2829,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ANYA,Anya Polytech & Fertilizers,28983,NSE_EQ,EQUITY,ES,SM,5000,,ACTIVE
